angle	raw	est
179	3	91
178	5	83
177	22	59
176	0	0
175	3	91
174	3	91
173	5	83
172	15	65
171	0	0
170	3	91
169	3	91
168	4	86
167	3	91
166	3	91
165	0	0
164	42	48
163	3	91
162	19	61
161	0	0
160	3	91
159	3	91
158	4	86
157	13	67
156	0	0
155	3	91
154	3	91
153	9	73
152	67	41
151	16	64
150	7	77
149	3	91
148	24	57
147	25	57
146	192	24
145	244	20
144	315	16
143	9	73
142	44	48
141	72	40
140	79	38
139	111	33
138	88	36
137	179	25
136	112	33
135	96	35
134	132	30
133	20	60
132	43	48
131	36	51
130	3	91
129	3	91
128	4	86
127	7	77
126	0	0
125	3	91
124	3	91
123	4	86
122	29	54
121	0	0
120	32	53
119	130	30
118	96	35
117	160	27
116	204	23
115	219	22
114	188	24
113	250	20
112	131	30
111	127	31
110	107	33
109	72	40
108	87	37
107	175	25
106	100	34
105	3	91
104	5	83
103	3	91
102	7	77
101	8	75
100	3	91
99	3	91
98	7	77
97	8	75
96	53	45
95	126	31
94	60	43
93	89	36
92	101	34
91	92	36
90	92	36
89	104	34
88	72	40
87	30	54
86	65	41
85	92	36
84	57	43
83	60	43
82	56	44
81	56	44
80	56	44
79	68	41
78	80	38
77	194	24
76	263	19
75	130	30
74	130	30
73	56	44
72	60	43
71	109	33
70	151	28
69	104	34
68	131	30
67	144	28
66	229	21
65	157	27
64	158	27
63	188	24
62	184	25
61	195	24
60	200	23
59	196	24
58	283	18
57	241	20
56	204	23
55	232	21
54	239	20
53	272	18
52	283	18
51	391	12
50	306	16
49	290	17
48	301	17
47	309	16
46	321	16
45	333	15
44	359	14
43	450	10
42	350	14
41	358	14
40	366	13
39	377	13
38	402	12
37	408	12
36	497	9
35	543	7
34	431	11
33	459	10
32	442	10
31	448	10
30	448	10
29	456	10
28	464	10
27	606	5
26	473	9
25	481	9
24	481	9
23	484	9
22	488	9
21	495	9
20	499	8
19	503	8
18	506	8
17	527	8
16	510	8
15	649	4
14	517	8
13	524	8
12	517	8
11	520	8
10	524	8
9	525	8
8	555	7
7	530	7
6	531	7
5	532	7
4	562	7
3	531	7
2	534	7
1	536	7
0	564	6
180	241	20
179	172	26
178	60	43
177	48	46
176	123	31
175	69	40
174	83	37
173	48	46
172	84	37
171	152	28
170	234	21
169	120	31
168	149	28
167	52	45
166	6	80
165	3	91
164	3	91
163	3	91
162	26	56
161	11	70
160	3	91
159	3	91
158	3	91
157	4	86
156	27	55
155	0	0
154	3	91
153	3	91
152	4	86
151	24	57
150	13	67
149	44	48
148	32	53
147	192	24
146	251	20
145	277	18
144	267	19
143	67	41
142	24	57
141	60	43
140	72	40
139	80	38
138	81	38
137	155	27
136	81	38
135	76	39
134	96	35
133	96	35
132	96	35
131	97	35
130	158	27
129	150	28
128	184	25
127	199	23
126	203	23
125	204	23
124	205	23
123	209	22
122	215	22
121	227	21
120	251	20
119	320	16
118	224	21
117	239	20
116	232	21
115	228	21
114	217	22
113	223	21
112	213	22
111	230	21
110	193	24
109	187	24
108	234	21
107	127	31
106	100	34
105	139	29
104	28	55
103	3	91
102	16	64
101	3	91
100	3	91
99	3	91
98	31	53
97	58	43
96	84	37
95	80	38
94	80	38
93	102	34
92	107	33
91	144	28
90	96	35
89	100	34
88	104	34
87	36	51
86	80	38
85	76	39
84	68	41
83	84	37
82	90	36
81	97	35
80	135	30
79	72	40
78	72	40
77	85	37
76	219	22
75	224	21
74	184	25
73	99	35
72	76	39
71	86	37
70	171	26
69	120	31
68	124	31
67	140	29
66	144	28
65	154	27
64	183	25
63	160	27
62	176	25
61	180	25
60	188	24
59	188	24
58	214	22
57	220	22
56	220	22
55	310	16
54	232	21
53	251	20
52	259	19
51	283	18
50	275	18
49	282	18
48	290	17
47	390	12
46	307	16
45	344	14
44	320	16
43	331	15
42	339	15
41	347	14
40	454	10
39	474	9
38	380	13
37	393	12
36	400	12
35	407	12
34	415	11
33	425	11
32	572	6
31	558	7
30	440	10
29	445	10
28	451	10
27	465	10
26	492	9
25	470	9
24	475	9
23	480	9
22	609	5
21	610	5
20	490	9
19	490	9
18	493	9
17	500	8
16	526	8
15	502	8
14	507	8
13	507	8
12	514	8
11	546	7
10	586	6
9	656	4
8	563	6
7	526	8
6	528	8
5	523	8
4	523	8
3	530	7
2	526	8
1	526	8
0	530	7
